sales,color,region
48,Khaki,France
98,Indigo,United States
68,Orange,United States
58,Goldenrod,United States
52,Green,France
70,Khaki,United States
10,Fuscia,United States
47,Violet,France
22,Pink,France
1,Blue,United States
99,Red,United Kingdom
10,Khaki,France
98,Fuscia,United States
11,Mauv,United States
84,Aquamarine,Spain
41,Mauv,United States
9,Pink,United States
2,Orange,United States
88,Aquamarine,United States
45,Mauv,United States
49,Pink,France
35,Crimson,United States
16,Crimson,United States
81,Goldenrod,United States
85,Red,United States
61,Aquamarine,United Kingdom
3,Aquamarine,France
28,Red,France
29,Puce,United Kingdom
49,Fuscia,United States
73,Teal,United Kingdom
8,Khaki,France
10,Yellow,Spain
27,Mauv,Spain
94,Mauv,France
21,Aquamarine,France
36,Blue,France
75,Purple,France
63,Pink,France
2,Violet,France
45,Turquoise,United States
24,Purple,France
93,Indigo,France
50,Teal,Spain
79,Crimson,United States
34,Pink,France
60,Pink,United States
15,Goldenrod,France
54,Orange,France
84,Aquamarine,France
71,Maroon,France
25,Violet,United States
23,Teal,United States
40,Pink,United States
93,Green,United States
31,Green,France
97,Yellow,France
67,Indigo,France
78,Puce,Spain
69,Green,United States
59,Fuscia,France
62,Crimson,France
92,Goldenrod,United States
19,Yellow,France
61,Crimson,France
43,Goldenrod,France
33,Red,United States
3,Yellow,France
73,Pink,France
25,Aquamarine,United States
25,Yellow,France
5,Maroon,Spain
9,Turquoise,France
93,Purple,France
21,Violet,France
88,Teal,France
45,Yellow,France
33,Purple,United States
58,Puce,France
94,Green,France
74,Goldenrod,United Kingdom
10,Purple,United States
39,Teal,United States
25,Maroon,France
65,Khaki,United States
29,Violet,France
8,Puce,France
98,Fuscia,United States
8,Indigo,France
31,Goldenrod,France
93,Yellow,France
